name;m;sigma;u;ref
1,1-dimethylcyclohexane;2.72;4.159;290.06;[2]
1,1,1-trichlorethane;2.47;3.756;279.13;[2]
1,1-dimethylcyclopentane;2.79;3.946;264.12;[2]
1,2-butadiene;2.3;3.54;239.01;[2]
1,2-dichloroethane;2.6;3.446;285.01;[2]
1,3-cyclohexadiene;2.54;3.695;280.68;[2]
1-bromonaphthalene;3.66;3.833;358.2;[2]
1-butanethiol;2.89;3.678;272.18;[3]
1-butene;2.29;3.643;222;[4]
1-butylnaphthalene;4.7;3.858;311.66;[2]
1-chlorobutane;2.86;3.642;258.66;[4]
1-decanethiol;5;3.838;271.82;[3]
1-decene;4.37;3.891;250.35;[5]
1-decylnaphthalene;5.77;4.217;318.51;[2]
1-dodecanethiol;5.2;4.031;281.92;[3]
1-dodecene;4.99;3.947;255.14;[5]
1-ethylnaphthalene;3.79;3.881;333.55;[2]
1-heptanethiol;3.82;3.847;276.69;[3]
1-heptyne;3.22;3.774;252.76;[2]
1-hexanethiol;3.57;3.822;272.56;[3]
1-hexene;2.99;3.775;236.81;[4]
1-hexylnaphthalene;5.58;3.858;300.4;[2]
1-hexyne;3.16;3.596;237.56;[2]
1-methylnaphthalene;3.6;3.817;335.57;[2]
1-nitropropane;3.14;3.407;289.01;[2]
1-nonanethiol;4.63;3.855;272.28;[2]
1-nonylnaphthalene;5.53;4.188;319.52;[3]
1-octadecene;7;4.043;259.84;[2]
1-octene;3.74;3.813;243.02;[4]
1-octyne;3.77;3.733;247.34;[4]
1-pentanethiol;3.13;3.781;277.69;[2]
1-pentene;2.6;3.74;231.99;[3]
1-pentene-3-yne;2.14;3.848;291.31;[2]
1-penten-4-yne;1.99;3.897;288;[2]
1-pentyne;2.89;3.511;228.48;[2]
1-phenylnaphthalene;4.92;3.823;331.06;[2]
1-propanethiol;2.48;3.61;275.45;[2]
1-propylnaphthalene;3.81;4.031;338.48;[3]
1-propyne;2.48;3.102;205.18;[2]
1-undecanethiol;5.18;3.896;275.56;[2]
2,2,3-trimethylbutane;2.74;4.091;258.65;[3]
2,2,3-trimethylpentane;3.1;4.067;260.59;[2]
2,2,4,4-tetramethylpentane;3.18;4.209;262.92;[2]
